 =================================================================================
      i NZ NE iSLP iLV       E(RYD)      TE(RYD)   gi         QD     EQN    RL(NS)
 =================================================================================
      1  1  1  200   1 -1.00000E+00  0.00000E+00  2.0  0.000E+00  1.0000  1.00E+30
      2  1  1  200   2 -2.50000E-01  7.50000E-01  2.0  0.000E+00  2.0000  1.00E+30
      3  1  1  211   1 -2.50000E-01  7.50000E-01  6.0  0.000E+00  2.0000  1.60E+00
      4  1  1  220   1 -1.11111E-01  8.88889E-01 10.0  0.000E+00  3.0000  1.55E+01
      5  1  1  200   3 -1.11111E-01  8.88889E-01  2.0  0.000E+00  3.0000  1.59E+02
      6  1  1  211   2 -1.11111E-01  8.88889E-01  6.0  0.000E+00  3.0000  5.28E+00
      7  1  1  211   3 -6.25000E-02  9.37500E-01  6.0  0.000E+00  4.0000  1.23E+01
      8  1  1  220   2 -6.25000E-02  9.37500E-01 10.0  0.000E+00  4.0000  3.62E+01
      9  1  1  231   1 -6.25000E-02  9.37500E-01 14.0  0.000E+00  4.0000  7.24E+01
     10  1  1  200   4 -6.25000E-02  9.37500E-01  2.0  0.000E+00  4.0000  2.27E+02
     11  1  1  211   4 -4.00000E-02  9.60000E-01  6.0  0.000E+00  5.0000  2.38E+01
     12  1  1  220   3 -4.00000E-02  9.60000E-01 10.0  0.000E+00  5.0000  6.98E+01
     13  1  1  231   2 -4.00000E-02  9.60000E-01 14.0  0.000E+00  5.0000  1.40E+02
     14  1  1  240   1 -4.00000E-02  9.60000E-01 18.0  0.000E+00  5.0000  2.36E+02
     15  1  1  200   5 -4.00000E-02  9.60000E-01  2.0  0.000E+00  5.0000  3.53E+02
     16  1  1  200   6 -2.77778E-02  9.72222E-01  2.0  0.000E+00  6.0000  5.35E+02
     17  1  1  220   4 -2.77778E-02  9.72222E-01 10.0  0.000E+00  6.0000  1.19E+02
     18  1  1  231   3 -2.77778E-02  9.72222E-01 14.0  0.000E+00  6.0000  2.40E+02
     19  1  1  251   1 -2.77778E-02  9.72222E-01 22.0  0.000E+00  6.0000  6.08E+02
     20  1  1  240   2 -2.77778E-02  9.72222E-01 18.0  0.000E+00  6.0000  4.04E+02
     21  1  1  211   5 -2.77778E-02  9.72222E-01  6.0  0.000E+00  6.0000  4.08E+01
     22  1  1  231   4 -2.04082E-02  9.79592E-01 14.0  0.000E+00  7.0000  3.77E+02
     23  1  1  200   7 -2.04082E-02  9.79592E-01  2.0  0.000E+00  7.0000  7.83E+02
     24  1  1  220   5 -2.04082E-02  9.79592E-01 10.0  0.000E+00  7.0000  1.88E+02
     25  1  1  260   1 -2.04082E-02  9.79592E-01 26.0  0.000E+00  7.0000  1.35E+03
     26  1  1  251   2 -2.04082E-02  9.79592E-01 22.0  0.000E+00  7.0000  9.61E+02
     27  1  1  240   3 -2.04082E-02  9.79592E-01 18.0  0.000E+00  7.0000  6.36E+02
     28  1  1  211   6 -2.04082E-02  9.79592E-01  6.0  0.000E+00  7.0000  6.45E+01
     29  1  1  271   1 -1.56250E-02  9.84375E-01 30.0  0.000E+00  8.0000  2.69E+03
     30  1  1  260   2 -1.56250E-02  9.84375E-01 26.0  0.000E+00  8.0000  2.01E+03
     31  1  1  251   3 -1.56250E-02  9.84375E-01 22.0  0.000E+00  8.0000  1.42E+03
     32  1  1  220   6 -1.56250E-02  9.84375E-01 10.0  0.000E+00  8.0000  2.79E+02
     33  1  1  240   4 -1.56250E-02  9.84375E-01 18.0  0.000E+00  8.0000  9.42E+02
     34  1  1  211   7 -1.56250E-02  9.84375E-01  6.0  0.000E+00  8.0000  9.59E+01
     35  1  1  200   8 -1.56250E-02  9.84375E-01  2.0  0.000E+00  8.0000  1.11E+03
     36  1  1  231   5 -1.56250E-02  9.84375E-01 14.0  0.000E+00  8.0000  5.60E+02
     37  1  1  220   7 -1.23457E-02  9.87654E-01 10.0  0.000E+00  9.0000  3.95E+02
     38  1  1  271   2 -1.23457E-02  9.87654E-01 30.0  0.000E+00  9.0000  3.81E+03
     39  1  1  260   3 -1.23457E-02  9.87654E-01 26.0  0.000E+00  9.0000  2.84E+03
     40  1  1  251   4 -1.23457E-02  9.87654E-01 22.0  0.000E+00  9.0000  2.02E+03
     41  1  1  280   1 -1.23457E-02  9.87654E-01 34.0  0.000E+00  9.0000  4.91E+03
     42  1  1  240   5 -1.23457E-02  9.87654E-01 18.0  0.000E+00  9.0000  1.33E+03
     43  1  1  200   9 -1.23457E-02  9.87654E-01  2.0  0.000E+00  9.0000  1.51E+03
     44  1  1  211   8 -1.23457E-02  9.87654E-01  6.0  0.000E+00  9.0000  1.36E+02
     45  1  1  231   6 -1.23457E-02  9.87654E-01 14.0  0.000E+00  9.0000  7.91E+02
     46  1  1  280   2 -1.00000E-02  9.90000E-01 34.0  0.000E+00 10.0000  6.73E+03
     47  1  1  220   8 -1.00000E-02  9.90000E-01 10.0  0.000E+00 10.0000  5.38E+02
     48  1  1  271   3 -1.00000E-02  9.90000E-01 30.0  0.000E+00 10.0000  5.21E+03
