WAVELENGTH  FLUX_DISK    FLUX_WD    FLUX_SEC       FLUX
---------- ---------- ---------- ----------- ----------
   50.0000 1.0437e-23 5.8282e-46 3.9159e-126 1.0437e-23
   51.0451 2.2760e-23 3.7457e-45 1.2784e-123 2.2760e-23
   52.0902 4.8018e-23 2.2296e-44 3.3019e-121 4.8018e-23
   53.1353 9.8204e-23 1.2348e-43 6.8408e-119 9.8204e-23
   54.1804 1.9505e-22 6.3890e-43 1.1515e-116 1.9505e-22
   55.2255 3.7689e-22 3.1008e-42 1.5936e-114 3.7689e-22
   56.2706 7.0954e-22 1.4167e-41 1.8331e-112 7.0954e-22
   57.3157 1.3034e-21 6.1133e-41 1.7705e-110 1.3034e-21
   58.3608 2.3395e-21 2.4993e-40 1.4495e-108 2.3395e-21
   59.4059 4.1080e-21 9.7089e-40 1.0147e-106 4.1080e-21
   60.4510 7.0650e-21 3.5932e-39 6.1237e-105 7.0650e-21
   61.4961 1.1913e-20 1.2701e-38 3.2101e-103 1.1913e-20
   62.5413 1.9717e-20 4.2978e-38 1.4721e-101 1.9717e-20
   63.5864 3.2059e-20 1.3953e-37 5.9449e-100 3.2059e-20
   64.6315 5.1254e-20 4.3546e-37  2.1273e-98 5.1254e-20
   65.6766 8.0637e-20 1.3091e-36  6.7843e-97 8.0637e-20
   66.7217 1.2494e-19 3.7970e-36  1.9388e-95 1.2494e-19
   67.7668 1.9080e-19 1.0645e-35  4.9904e-94 1.9080e-19
   68.8119 2.8735e-19 2.8889e-35  1.1625e-92 2.8735e-19
   69.8570 4.2708e-19 7.6008e-35  2.4616e-91 4.2708e-19
   70.9021 6.2678e-19 1.9414e-34  4.7587e-90 6.2678e-19
   71.9472 9.0883e-19 4.8204e-34  8.4319e-89 9.0883e-19
   72.9923 1.3027e-18 1.1649e-33  1.3746e-87 1.3027e-18
   74.0374 1.8468e-18 2.7430e-33  2.0689e-86 1.8468e-18
   75.0825 2.5906e-18 6.3008e-33  2.8847e-85 2.5906e-18
   76.1276 3.5974e-18 1.4133e-32  3.7379e-84 3.5974e-18
   77.1727 4.9474e-18 3.0985e-32  4.5147e-83 4.9474e-18
   78.2178 6.7412e-18 6.6462e-32  5.0970e-82 6.7412e-18
   79.2629 9.1037e-18 1.3960e-31  5.3933e-81 9.1037e-18
   80.3080 1.2190e-17 2.8735e-31  5.3624e-80 1.2190e-17
   81.3531 1.6188e-17 5.8014e-31  5.0220e-79 1.6188e-17
   82.3982 2.1329e-17 1.1496e-30  4.4401e-78 2.1329e-17
   83.4433 2.7890e-17 2.2377e-30  3.7141e-77 2.7890e-17
   84.4884 3.6204e-17 4.2810e-30  2.9455e-76 3.6204e-17
   85.5336 4.6669e-17 8.0554e-30  2.2190e-75 4.6669e-17
   86.5787 5.9753e-17 1.4917e-29  1.5910e-74 5.9753e-17
   87.6238 7.6009e-17 2.7200e-29  1.0875e-73 7.6009e-17
   88.6689 9.6083e-17 4.8865e-29  7.0997e-73 9.6083e-17
   89.7140 1.2073e-16 8.6538e-29  4.4337e-72 1.2073e-16
   90.7591 1.5081e-16 1.5115e-28  2.6526e-71 1.5081e-16
   91.8042 1.8733e-16 2.6050e-28  1.5227e-70 1.8733e-16
   92.8493 2.3145e-16 4.4322e-28  8.3979e-70 2.3145e-16
   93.8944 2.8445e-16 7.4475e-28  4.4562e-69 2.8445e-16
   94.9395 3.4783e-16 1.2364e-27  2.2779e-68 3.4783e-16
   95.9846 4.2326e-16 2.0290e-27  1.1231e-67 4.2326e-16
   97.0297 5.1261e-16 3.2924e-27  5.3469e-67 5.1261e-16
   98.0748 6.1801e-16 5.2844e-27  2.4610e-66 6.1801e-16
   99.1199 7.4179e-16 8.3929e-27  1.0962e-65 7.4179e-16
  100.1650 8.8656e-16 1.3195e-26  4.7302e-65 8.8656e-16
  101.2101 1.0552e-15 2.0539e-26  1.9794e-64 1.0552e-15
  102.2552 1.2509e-15 3.1668e-26  8.0399e-64 1.2509e-15
  103.3003 1.4772e-15 4.8375e-26  3.1727e-63 1.4772e-15
  104.3454 1.7379e-15 7.3236e-26  1.2174e-62 1.7379e-15
  105.3905 2.0372e-15 1.0991e-25  4.5462e-62 2.0372e-15
  106.4356 2.3795e-15 1.6356e-25  1.6535e-61 2.3795e-15
  107.4807 2.7700e-15 2.4140e-25  5.8623e-61 2.7700e-15
  108.5259 3.2138e-15 3.5347e-25  2.0274e-60 3.2138e-15
  109.5710 3.7167e-15 5.1358e-25  6.8441e-60 3.7167e-15
  110.6161 4.2849e-15 7.4063e-25  2.2569e-59 4.2849e-15
  111.6612 4.9250e-15 1.0603e-24  7.2749e-59 4.9250e-15
  112.7063 5.6441e-15 1.5072e-24  2.2936e-58 5.6441e-15
  113.7514 6.4497e-15 2.1278e-24  7.0774e-58 6.4497e-15
  114.7965 7.3499e-15 2.9838e-24  2.1386e-57 7.3499e-15
  115.8416 8.3531e-15 4.1571e-24  6.3320e-57 8.3531e-15
  116.8867 9.4684e-15 5.7551e-24  1.8380e-56 9.4684e-15
  117.9318 1.0705e-14 7.9185e-24  5.2333e-56 1.0705e-14
  118.9769 1.2074e-14 1.0830e-23  1.4624e-55 1.2074e-14
  120.0220 1.3584e-14 1.4726e-23  4.0123e-55 1.3584e-14
  121.0671 1.5248e-14 1.9910e-23  1.0814e-54 1.5248e-14
  122.1122 1.7076e-14 2.6770e-23  2.8647e-54 1.7076e-14
  123.1573 1.9081e-14 3.5801e-23  7.4615e-54 1.9081e-14
  124.2024 2.1276e-14 4.7628e-23  1.9117e-53 2.1276e-14
  125.2475 2.3673e-14 6.3038e-23  4.8198e-53 2.3673e-14
  126.2926 2.6286e-14 8.3019e-23  1.1963e-52 2.6286e-14
  127.3377 2.9129e-14 1.0880e-22  2.9245e-52 2.9129e-14
  128.3828 3.2217e-14 1.4192e-22  7.0432e-52 3.2217e-14
  129.4279 3.5564e-14 1.8427e-22  1.6718e-51 3.5564e-14
  130.4730 3.9187e-14 2.3818e-22  3.9125e-51 3.9187e-14
  131.5182 4.3101e-14 3.0651e-22  9.0306e-51 4.3101e-14
  132.5633 4.7322e-14 3.9275e-22  2.0564e-50 4.7322e-14
  133.6084 5.1868e-14 5.0115e-22  4.6214e-50 5.1868e-14
  134.6535 5.6756e-14 6.3687e-22  1.0253e-49 5.6756e-14
  135.6986 6.2003e-14 8.0611e-22  2.2463e-49 6.2003e-14
  136.7437 6.7626e-14 1.0164e-21  4.8614e-49 6.7626e-14
  137.7888 7.3646e-14 1.2766e-21  1.0395e-48 7.3646e-14
  138.8339 8.0079e-14 1.5975e-21  2.1969e-48 8.0079e-14
  139.8790 8.6946e-14 1.9918e-21  4.5899e-48 8.6946e-14
  140.9241 9.4265e-14 2.4747e-21  9.4829e-48 9.4265e-14
  141.9692 1.0206e-13 3.0639e-21  1.9378e-47 1.0206e-13
  143.0143 1.1034e-13 3.7807e-21  3.9177e-47 1.1034e-13
  144.0594 1.1913e-13 4.6496e-21  7.8380e-47 1.1913e-13
  145.1045 1.2845e-13 5.6998e-21  1.5521e-46 1.2845e-13
  146.1496 1.3833e-13 6.9651e-21  3.0429e-46 1.3833e-13
  147.1947 1.4878e-13 8.4849e-21  5.9073e-46 1.4878e-13
  148.2398 1.5982e-13 1.0305e-20  1.1359e-45 1.5982e-13
  149.2849 1.7147e-13 1.2478e-20  2.1636e-45 1.7147e-13
  150.3300 1.8376e-13 1.5066e-20  4.0834e-45 1.8376e-13
  151.3751 1.9670e-13 1.8140e-20  7.6376e-45 1.9670e-13
  152.4202 2.1031e-13 2.1779e-20  1.4160e-44 2.1031e-13
  153.4653 2.2462e-13 2.6077e-20  2.6027e-44 2.2462e-13
  154.5105 2.3964e-13 3.1141e-20  4.7435e-44 2.3964e-13
  155.5556 2.5540e-13 3.7090e-20  8.5738e-44 2.5540e-13
  156.6007 2.7192e-13 4.4064e-20  1.5372e-43 2.7192e-13
  157.6458 2.8921e-13 5.2218e-20  2.7341e-43 2.8921e-13
  158.6909 3.0730e-13 6.1728e-20  4.8251e-43 3.0730e-13
  159.7360 3.2620e-13 7.2796e-20  8.4506e-43 3.2620e-13
  160.7811 3.4593e-13 8.5646e-20  1.4690e-42 3.4593e-13
  161.8262 3.6652e-13 1.0053e-19  2.5348e-42 3.6652e-13
  162.8713 3.8798e-13 1.1774e-19  4.3425e-42 3.8798e-13
  163.9164 4.1034e-13 1.3758e-19  7.3869e-42 4.1034e-13
  164.9615 4.3360e-13 1.6043e-19  1.2479e-41 4.3360e-13
  166.0066 4.5779e-13 1.8666e-19  2.0939e-41 4.5779e-13
  167.0517 4.8292e-13 2.1673e-19  3.4899e-41 4.8292e-13
  168.0968 5.0901e-13 2.5113e-19  5.7788e-41 5.0901e-13
  169.1419 5.3609e-13 2.9041e-19  9.5075e-41 5.3609e-13
  170.1870 5.6416e-13 3.3516e-19  1.5544e-40 5.6416e-13
  171.2321 5.9323e-13 3.8607e-19  2.5256e-40 5.9323e-13
  172.2772 6.2334e-13 4.4386e-19  4.0788e-40 6.2334e-13
